# Lemaitre's distance-velocity dataset
# D [Mpc], V [km/s] from Lemaitre (1927), N=42
0.63 -300
0.11 -315
2.75  650
1.82  -25
1.66 1800
0.28  -70
1.82 1300
1.20  300
0.72  916
3.47  800
1.51  700
1.05  400
0.83  600
0.50  -30
0.69  290
0.87  600
1.10  940
0.83  812
1.91  600
1.15  730
1.05  800
0.72  650
1.15  800
2.75  950
2.00  300
0.60  500
1.10  500
0.87  200
0.63  850
0.95  800
1.82  580
1.74 1100
0.72 1140
0.87 1090
0.52  290
0.69  150
1.82  900
0.91  450
0.33  240
1.32  500
2.40  650
1.32  500
